Record Length,2250,,Source,CH1
Sample Interval,CH1:0.0000000040000,,Second,Volt
Vertical Units,CH1:V,,-0.00000450000,-1.04000,
Vertical Scale,CH1:2.00,,-0.00000449600,-1.04000,
Vertical Offset,CH1:-0.08000,,-0.00000449200,-1.12000,
Horizontal Units,s,,-0.00000448800,-0.96000,
Horizontal Scale,0.0000005000,,-0.00000448400,-0.88000,
Model Number,ADS-3072B,,-0.00000448000,-0.72000,
Serial Number,NEU00004121681,,-0.00000447600,-0.48000,
Software Version,5.01.02.13,,-0.00000447200,-0.40000,
,,,-0.00000446800,-0.32000,
,,,-0.00000446400,-0.32000,
,,,-0.00000446000,-0.56000,
,,,-0.00000445600,-0.72000,
,,,-0.00000445200,-1.04000,
,,,-0.00000444800,-1.12000,
,,,-0.00000444400,-1.12000,
,,,-0.00000444000,-1.04000,
,,,-0.00000443600,-0.72000,
,,,-0.00000443200,-0.40000,
,,,-0.00000442800,0.08000,
,,,-0.00000442400,0.72000,
,,,-0.00000442000,1.28000,
,,,-0.00000441600,1.76000,
,,,-0.00000441200,2.16000,
,,,-0.00000440800,2.16000,
,,,-0.00000440400,2.32000,
,,,-0.00000440000,2.08000,
,,,-0.00000439600,1.84000,
,,,-0.00000439200,1.60000,
,,,-0.00000438800,1.20000,
,,,-0.00000438400,1.04000,
,,,-0.00000438000,0.96000,
,,,-0.00000437600,0.96000,
,,,-0.00000437200,1.20000,
,,,-0.00000436800,1.60000,
,,,-0.00000436400,2.00000,
,,,-0.00000436000,2.32000,
,,,-0.00000435600,2.56000,
,,,-0.00000435200,2.64000,
,,,-0.00000434800,2.40000,
,,,-0.00000434400,2.32000,
,,,-0.00000434000,1.84000,
,,,-0.00000433600,1.52000,
,,,-0.00000433200,1.28000,
,,,-0.00000432800,0.96000,
,,,-0.00000432400,0.96000,
,,,-0.00000432000,0.96000,
,,,-0.00000431600,1.04000,
,,,-0.00000431200,1.12000,
,,,-0.00000430800,1.20000,
,,,-0.00000430400,1.36000,
,,,-0.00000430000,1.28000,
,,,-0.00000429600,1.36000,
,,,-0.00000429200,1.36000,
,,,-0.00000428800,1.20000,
,,,-0.00000428400,1.20000,
,,,-0.00000428000,1.12000,
,,,-0.00000427600,1.12000,
,,,-0.00000427200,1.04000,
,,,-0.00000426800,1.04000,
,,,-0.00000426400,1.12000,
,,,-0.00000426000,1.04000,
,,,-0.00000425600,1.04000,
,,,-0.00000425200,1.04000,
,,,-0.00000424800,0.96000,
,,,-0.00000424400,1.04000,
,,,-0.00000424000,1.04000,
,,,-0.00000423600,0.96000,
,,,-0.00000423200,0.96000,
,,,-0.00000422800,0.88000,
,,,-0.00000422400,1.04000,
,,,-0.00000422000,0.96000,
,,,-0.00000421600,0.96000,
,,,-0.00000421200,0.88000,
,,,-0.00000420800,0.88000,
,,,-0.00000420400,0.88000,
,,,-0.00000420000,0.80000,
,,,-0.00000419600,0.80000,
,,,-0.00000419200,0.80000,
,,,-0.00000418800,0.64000,
,,,-0.00000418400,0.72000,
,,,-0.00000418000,0.56000,
,,,-0.00000417600,0.48000,
,,,-0.00000417200,0.32000,
,,,-0.00000416800,0.16000,
,,,-0.00000416400,0.08000,
,,,-0.00000416000,-0.24000,
,,,-0.00000415600,-0.48000,
,,,-0.00000415200,-0.80000,
,,,-0.00000414800,-1.12000,
,,,-0.00000414400,-1.36000,
,,,-0.00000414000,-1.60000,
,,,-0.00000413600,-1.76000,
,,,-0.00000413200,-1.92000,
,,,-0.00000412800,-2.00000,
,,,-0.00000412400,-2.00000,
,,,-0.00000412000,-1.92000,
,,,-0.00000411600,-1.76000,
,,,-0.00000411200,-1.76000,
,,,-0.00000410800,-1.60000,
,,,-0.00000410400,-1.36000,
,,,-0.00000410000,-1.12000,
,,,-0.00000409600,-0.88000,
,,,-0.00000409200,-0.80000,
,,,-0.00000408800,-0.64000,
,,,-0.00000408400,-0.56000,
,,,-0.00000408000,-0.56000,
,,,-0.00000407600,-0.64000,
,,,-0.00000407200,-0.72000,
,,,-0.00000406800,-1.04000,
,,,-0.00000406400,-1.20000,
,,,-0.00000406000,-1.52000,
,,,-0.00000405600,-1.68000,
,,,-0.00000405200,-1.84000,
,,,-0.00000404800,-2.00000,
,,,-0.00000404400,-2.00000,
,,,-0.00000404000,-1.84000,
,,,-0.00000403600,-1.68000,
,,,-0.00000403200,-1.44000,
,,,-0.00000402800,-1.12000,
,,,-0.00000402400,-0.64000,
,,,-0.00000402000,-0.32000,
,,,-0.00000401600,0.00,
,,,-0.00000401200,0.16000,
,,,-0.00000400800,0.24000,
,,,-0.00000400400,0.32000,
,,,-0.00000400000,0.24000,
,,,-0.00000399600,0.08000,
,,,-0.00000399200,-0.16000,
,,,-0.00000398800,-0.32000,
,,,-0.00000398400,-0.48000,
,,,-0.00000398000,-0.72000,
,,,-0.00000397600,-0.80000,
,,,-0.00000397200,-0.96000,
,,,-0.00000396800,-1.04000,
,,,-0.00000396400,-0.88000,
,,,-0.00000396000,-0.88000,
